phrase,meaning_ja,example_sentence,translated_sentence,source_url,error,deepl_filled_fields
classic text,古典的なテキスト,Students are required to read a classic text on political philosophy.,学生は政治哲学に関する古典的なテキストを読むことが求められている。,https://ejje.weblio.jp/content/classic%20text,404 Client Error: 404 for url: https://ejje.weblio.jp/content/classic%20text,meaning_ja
classic work,名作,This novel is considered a classic work of modern literature.,この小説は、現代文学の傑作と見なされている。,https://ejje.weblio.jp/content/classic%20work,404 Client Error: 404 for url: https://ejje.weblio.jp/content/classic%20work,meaning_ja
classical theory,古典論,The new discovery challenges some aspects of classical theory in physics.,その新しい発見は、物理学における古典論のいくつかの側面に異議を唱えている。,https://ejje.weblio.jp/content/classical%20theory,,
clear boundary,明確な境界,It is important to establish a clear boundary between personal and professional life.,私生活と職業生活の間に明確な境界線を設けることが重要である。,https://ejje.weblio.jp/content/clear%20boundary,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clear%20boundary,meaning_ja
clear distinction,明らかな区別,There is a clear distinction between correlation and causation in statistics.,統計学において、相関と因果関係の間には明確な区別がある。,https://ejje.weblio.jp/content/clear%20distinction,,
clear evidence,明確な証拠,The study provides clear evidence supporting the effectiveness of the treatment.,その研究は、治療の有効性を裏付ける明確な証拠を提供している。,https://ejje.weblio.jp/content/clear%20evidence,,
clear focus,明確な焦点,The project needs a clear focus to achieve its objectives effectively.,プロジェクトは、目標を効果的に達成するために明確な焦点が必要である。,https://ejje.weblio.jp/content/clear%20focus,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clear%20focus,meaning_ja
clear indication,明示,The data provides a clear indication of improving economic conditions.,そのデータは、経済状況が改善している明確な兆候を示している。,https://ejje.weblio.jp/content/clear%20indication,,
clear relationship,明確な関係,The research aims to establish a clear relationship between these factors.,その研究は、これらの要因間の明確な関係を確立することを目指している。,https://ejje.weblio.jp/content/clear%20relationship,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clear%20relationship,meaning_ja
clear statement,明確な表明,The policy document makes a clear statement about human rights.,その政策文書は、人権について明確な表明をしている。,https://ejje.weblio.jp/content/clear%20statement,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clear%20statement,meaning_ja
clear structure,明確な構造,A well-organized report always has a clear structure for readability.,よく整理された報告書は、読みやすさのために常に明確な構造を持っている。,https://ejje.weblio.jp/content/clear%20structure,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clear%20structure,meaning_ja
clearly defined,明確に定義された,The roles and responsibilities of team members are clearly defined.,チームメンバーの役割と責任は明確に定義されている。,https://ejje.weblio.jp/content/clearly%20defined,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20defined,meaning_ja
clearly demonstrated,はっきりと示された,The experiment clearly demonstrated the principle of conservation of energy.,その実験は、エネルギー保存の法則をはっきりと示した。,https://ejje.weblio.jp/content/clearly%20demonstrated,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20demonstrated,meaning_ja
clearly established,明確に確立された,The link between exercise and health is clearly established.,運動と健康の間の関連性は明確に確立されている。,https://ejje.weblio.jp/content/clearly%20established,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20established,meaning_ja
clearly evident,明々白々、明明白白,The impact of climate change on ecosystems is clearly evident globally.,気候変動が生態系に与える影響は、世界中で明白である。,https://ejje.weblio.jp/content/clearly%20evident,,
clearly identified,明確に特定された,The key challenges for the project were clearly identified in the report.,プロジェクトの主要な課題は、報告書で明確に特定された。,https://ejje.weblio.jp/content/clearly%20identified,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20identified,meaning_ja
clearly important,明らかに重要だ,Ethical considerations are clearly important in all scientific research.,倫理的配慮は、すべての科学研究において明らかに重要である。,https://ejje.weblio.jp/content/clearly%20important,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20important,meaning_ja
clearly related to,明らかに～に関連している,Economic growth is clearly related to innovation and technological advancement.,経済成長は、革新と技術の進歩に明らかに関連している。,https://ejje.weblio.jp/content/clearly%20related%20to,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20related%20to,meaning_ja
clearly understand,明確に理解する,It's essential that all participants clearly understand their roles.,すべての参加者が自分の役割を明確に理解することが不可欠である。,https://ejje.weblio.jp/content/clearly%20understand,404 Client Error: 404 for url: https://ejje.weblio.jp/content/clearly%20understand,meaning_ja
clearly visible,現然,The effects of the new policy are already clearly visible.,新しい政策の効果はすでに明白である。,https://ejje.weblio.jp/content/clearly%20visible,,
climate change,気候変動,Addressing climate change requires global cooperation and innovative solutions.,気候変動に対処するには、地球規模の協力と革新的な解決策が必要である。,https://ejje.weblio.jp/content/climate%20change,,
climatic conditions,ひより,Agricultural productivity is highly dependent on local climatic conditions.,農業生産性は、地域の気候条件に大きく依存している。,https://ejje.weblio.jp/content/climatic%20conditions,,
close contact,接触者、濃厚接触者、濃厚接触、濃厚接触者,Maintaining close contact with clients is vital for business relationships.,顧客との密接な連絡を維持することは、ビジネス関係にとって不可欠である。,https://ejje.weblio.jp/content/close%20contact,,
close proximity,咫尺,Living in close proximity to nature offers numerous health benefits.,自然に近接して暮らすことは、数多くの健康上の利点をもたらす。,https://ejje.weblio.jp/content/close%20proximity,,
close relationship,親しい間柄,There is a close relationship between education levels and economic prosperity.,教育水準と経済的繁栄の間には密接な関係がある。,https://ejje.weblio.jp/content/close%20relationship,,
close scrutiny,検査されて；調査されて；監視されて,The new regulations will come under close scrutiny from industry experts.,新しい規制は、業界の専門家から厳密な精査を受けるだろう。,https://ejje.weblio.jp/content/close%20scrutiny,,
"closely allied to, with",…と密接に結びついている、～とともに,This research area is closely allied to the field of neuroscience.,この研究分野は、神経科学の分野と密接に結びついている。,https://ejje.weblio.jp/content/closely%20allied%20to%2C%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20allied%20to%2C%20with,meaning_ja
closely associated with,密接に関連している,Innovation is closely associated with economic growth and competitiveness.,革新は経済成長と競争力に密接に関連している。,https://ejje.weblio.jp/content/closely%20associated%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20associated%20with,meaning_ja
"closely connected to, with",…と密接に関連している、…と,These historical events are closely connected to the current political climate.,これらの歴史的出来事は、現在の政治情勢と密接に関連している。,https://ejje.weblio.jp/content/closely%20connected%20to%2C%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20connected%20to%2C%20with,meaning_ja
"closely linked to, with",…と密接に関連している,Public health is closely linked to environmental quality and policy.,公衆衛生は、環境の質と政策に密接に関連している。,https://ejje.weblio.jp/content/closely%20linked%20to%2C%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20linked%20to%2C%20with,meaning_ja
closely related to,密接に関連している,The findings are closely related to previous studies on human behavior.,その発見は、人間の行動に関する以前の研究と密接に関連している。,https://ejje.weblio.jp/content/closely%20related%20to,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20related%20to,meaning_ja
closely resemble,酷似,Some synthetic materials closely resemble natural compounds in their properties.,一部の合成材料は、その特性において天然化合物に酷似している。,https://ejje.weblio.jp/content/closely%20resemble,,
closely tied,密接に関連している,Economic stability is closely tied to political stability in many regions.,多くの地域で、経済の安定は政治の安定に密接に関連している。,https://ejje.weblio.jp/content/closely%20tied,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closely%20tied,meaning_ja
closer examination,詳細な検討,A closer examination of the data revealed subtle but significant trends.,データを詳細に検討した結果、微妙だが重要な傾向が明らかになった。,https://ejje.weblio.jp/content/closer%20examination,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closer%20examination,meaning_ja
closer inspection,詳しく調べてみると,"Upon closer inspection, some anomalies were discovered in the results.",詳しく調べてみると、結果にいくつかの異常が発見された。,https://ejje.weblio.jp/content/closer%20inspection,404 Client Error: 404 for url: https://ejje.weblio.jp/content/closer%20inspection,meaning_ja
closer look,よく見ると,Let's take a closer look at the methodology used in this research.,この研究で使用された方法論について、もう少し詳しく見てみましょう。,https://ejje.weblio.jp/content/closer%20look,,
cognitive ability,認知能力,Education aims to enhance a student's cognitive ability and critical thinking.,教育は、学生の認知能力と批判的思考を高めることを目指している。,https://ejje.weblio.jp/content/cognitive%20ability,,
cognitive development,認知発達,Early childhood experiences are crucial for healthy cognitive development.,幼児期の経験は、健全な認知発達にとって極めて重要である。,https://ejje.weblio.jp/content/cognitive%20development,,
cognitive skills,認知能力,"Learning new languages can improve various cognitive skills, such as memory.",新しい言語を学ぶことは、記憶力などの様々な認知能力を向上させることができる。,https://ejje.weblio.jp/content/cognitive%20skills,,
collaborative learning,協調学習,Collaborative learning strategies foster teamwork and communication among students.,協調学習戦略は、学生間のチームワークとコミュニケーションを育む。,https://ejje.weblio.jp/content/collaborative%20learning,,
collect data,資料を取り集める、取材する、材料を集める,Researchers plan to collect data from diverse sources for their study.,研究者たちは、彼らの研究のために多様な情報源からデータを収集する予定だ。,https://ejje.weblio.jp/content/collect%20data,,
collect information,情報を収集する,It is important to collect information from reliable sources.,信頼できる情報源から情報を収集することが重要である。,https://ejje.weblio.jp/content/collect%20information,,
collective action,団体行動、集団行動,Addressing global challenges often requires collective action from nations.,世界的な課題に対処するには、しばしば各国からの集団行動が必要である。,https://ejje.weblio.jp/content/collective%20action,,
collective identity,集団的アイデンティティ,Shared cultural heritage contributes to a strong collective identity.,共有された文化遺産は、強力な集団的アイデンティティに貢献する。,https://ejje.weblio.jp/content/collective%20identity,,meaning_ja
collective memory,集合的記憶（しゅうごうてききおく、フランス語: la mémoire collective、英語: collective memory、中国語: 集體記憶）とは、ある社会集団が共有する記憶、知識、および情報の集合体であり、その集団のアイデンティティと深く結びついているものを指す概念である。,Societies often rely on collective memory to understand their shared history and identity.,社会は、共有された歴史とアイデンティティを理解するために、しばしば集合的記憶に依拠します。,https://ejje.weblio.jp/content/collective%20memory,,
combined effect,併用効果,The combined effect of these policies led to significant economic growth.,これらの政策の併用効果が、大幅な経済成長をもたらしました。,https://ejje.weblio.jp/content/combined%20effect,,
come into conflict with,対立する,Their new proposal might come into conflict with existing regulations.,彼らの新しい提案は、既存の規制と対立する可能性があります。,https://ejje.weblio.jp/content/come%20into%20conflict%20with,,meaning_ja
come into contact with,触れ合う、触れあう、触れ合う,It's important for students to come into contact with diverse perspectives.,学生が多様な視点に触れ合うことは重要です。,https://ejje.weblio.jp/content/come%20into%20contact%20with,,
commercial activity,商業事業の一部として企てられる活動,The city aims to promote more commercial activity in the downtown area.,その都市は、中心街でのより多くの商業活動を促進することを目指しています。,https://ejje.weblio.jp/content/commercial%20activity,,
commercial transaction,商行為,Every commercial transaction must adhere to strict legal guidelines.,すべての商行為は、厳格な法的ガイドラインに従う必要があります。,https://ejje.weblio.jp/content/commercial%20transaction,,
commit a crime,悪事を働く、犯罪に及ぶ、ヤマを踏む、山を踏む、罪を犯す、犯罪を犯す[構成する]、悪事を働く、罪を犯す、罪を犯す,Individuals who commit a crime face severe penalties under the law.,罪を犯す個人は、法律により厳しい罰則を受けます。,https://ejje.weblio.jp/content/commit%20a%20crime,,
commit an offence,犯罪を犯す,Individuals who commit an offence must face the legal consequences of their actions.,犯罪を犯した個人は、その行為の法的結果に直面しなければなりません。,https://ejje.weblio.jp/content/commit%20an%20offence,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commit%20an%20offence,meaning_ja
common ancestor,共通祖先,All living organisms share a common ancestor from billions of years ago.,すべての生物は、数十億年前の共通祖先を共有しています。,https://ejje.weblio.jp/content/common%20ancestor,,
common approach,一般的なアプローチ,This common approach helps streamline processes across different departments.,この一般的なアプローチは、異なる部署間のプロセスを効率化するのに役立ちます。,https://ejje.weblio.jp/content/common%20approach,404 Client Error: 404 for url: https://ejje.weblio.jp/content/common%20approach,meaning_ja
common assumption,共通の仮定,We challenged the common assumption that innovation always requires new technology.,私たちは、イノベーションには常に新しい技術が必要だという共通の仮定に異議を唱えました。,https://ejje.weblio.jp/content/common%20assumption,,
common characteristic,共通の特徴,A common characteristic of successful leaders is strong communication skills.,成功するリーダーに共通の特徴は、強力なコミュニケーションスキルです。,https://ejje.weblio.jp/content/common%20characteristic,404 Client Error: 404 for url: https://ejje.weblio.jp/content/common%20characteristic,meaning_ja
common culture,共通の文化,Shared values are essential for building a strong common culture.,共有された価値観は、強力な共通の文化を築くために不可欠です。,https://ejje.weblio.jp/content/common%20culture,404 Client Error: 404 for url: https://ejje.weblio.jp/content/common%20culture,meaning_ja
common error,共通エラー,Forgetting to save your work is a common error in digital tasks.,作業を保存し忘れることは、デジタル作業におけるよくある間違いです。,https://ejje.weblio.jp/content/common%20error,,
common feature,共通点,A common feature of these products is their user-friendly design.,これらの製品に共通する特徴は、ユーザーフレンドリーなデザインです。,https://ejje.weblio.jp/content/common%20feature,,
common goal,共通の目標,The team worked together to achieve their common goal of project completion.,チームはプロジェクト完了という共通の目標を達成するために協力しました。,https://ejje.weblio.jp/content/common%20goal,404 Client Error: 404 for url: https://ejje.weblio.jp/content/common%20goal,meaning_ja
common method,共通方法; 慣用法; 共通化方式,Surveying customers is a common method for gathering market feedback.,顧客調査は、市場フィードバックを収集する一般的な方法です。,https://ejje.weblio.jp/content/common%20method,,
common source,ソース接地回路（ソースせっちかいろ）またはソース共通回路（ソースきょうつうかいろ、英: Common source）は、電界効果トランジスタを用いた基本的な増幅回路の一つ。,Both reports cited the same statistical data as a common source.,両方の報告書は、同じ統計データを共通の情報源として引用していました。,https://ejje.weblio.jp/content/common%20source,,
common theme,共通のテーマ,The common theme of the conference was sustainable development.,会議の共通のテーマは持続可能な開発でした。,https://ejje.weblio.jp/content/common%20theme,404 Client Error: 404 for url: https://ejje.weblio.jp/content/common%20theme,meaning_ja
common usage,通行、常例、慣用、共用化,This term has fallen out of common usage in recent years.,この用語は近年、一般的な慣用から外れてきています。,https://ejje.weblio.jp/content/common%20usage,,
commonly accepted,一般的に認められている,It is a commonly accepted principle that honesty is the best policy.,誠実さが最善の策であるというのは、一般的に認められている原則です。,https://ejje.weblio.jp/content/commonly%20accepted,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20accepted,meaning_ja
commonly associated with,一般的に～と関連付けられている,Certain symptoms are commonly associated with a particular medical condition.,特定の症状は、特定の病状と一般的に関連付けられています。,https://ejje.weblio.jp/content/commonly%20associated%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20associated%20with,meaning_ja
commonly called,一般に～と呼ばれる,The phenomenon is commonly called aurora borealis in the northern hemisphere.,その現象は北半球では一般的にオーロラと呼ばれています。,https://ejje.weblio.jp/content/commonly%20called,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20called,meaning_ja
commonly encountered,よく見られる,Misunderstandings are commonly encountered in cross-cultural communication.,異文化間コミュニケーションでは、誤解がよく見られます。,https://ejje.weblio.jp/content/commonly%20encountered,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20encountered,meaning_ja
commonly found in,よく見られるのは,This type of mineral is commonly found in volcanic rock formations.,この種の鉱物は、火山岩層によく見られます。,https://ejje.weblio.jp/content/commonly%20found%20in,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20found%20in,meaning_ja
commonly known as,一般に～として知られている,"That plant is commonly known as a ""money tree"" due to its leaves.",その植物は葉の形から、一般的に「金のなる木」として知られています。,https://ejje.weblio.jp/content/commonly%20known%20as,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20known%20as,meaning_ja
commonly referred to as,一般に～と呼ばれる,"The area is commonly referred to as the ""Silicon Valley"" of the East.",その地域は一般的に「東洋のシリコンバレー」と呼ばれています。,https://ejje.weblio.jp/content/commonly%20referred%20to%20as,404 Client Error: 404 for url: https://ejje.weblio.jp/content/commonly%20referred%20to%20as,meaning_ja
commonly used,よく使う；よく使われる,The internet is a commonly used tool for information access and communication.,インターネットは、情報アクセスとコミュニケーションのためによく使われるツールです。,https://ejje.weblio.jp/content/commonly%20used,,
communicate effectively,効果的に意思疎通を図る,Leaders must learn to communicate effectively with their teams.,リーダーは、チームと効果的に意思疎通を図る方法を学ぶ必要があります。,https://ejje.weblio.jp/content/communicate%20effectively,404 Client Error: 404 for url: https://ejje.weblio.jp/content/communicate%20effectively,meaning_ja
comparative analysis,比較解析、比較分析,The report provides a comparative analysis of different market strategies.,その報告書は、異なる市場戦略の比較分析を提供しています。,https://ejje.weblio.jp/content/comparative%20analysis,,
comparative research,比較調査,Our comparative research explores educational systems across several countries.,私たちの比較調査は、いくつかの国の教育システムを探求しています。,https://ejje.weblio.jp/content/comparative%20research,,
comparative study,比較試験、比較研究,This comparative study examines the effectiveness of two teaching methods.,この比較研究は、2つの教授法の有効性を検証しています。,https://ejje.weblio.jp/content/comparative%20study,,
compelling argument,説得力のある主張,She presented a compelling argument for investing in renewable energy.,彼女は再生可能エネルギーへの投資について、説得力のある主張を提示しました。,https://ejje.weblio.jp/content/compelling%20argument,404 Client Error: 404 for url: https://ejje.weblio.jp/content/compelling%20argument,meaning_ja
compelling evidence,説得力のある証拠,There is compelling evidence to support the new scientific theory.,新しい科学理論を裏付ける説得力のある証拠があります。,https://ejje.weblio.jp/content/compelling%20evidence,404 Client Error: 404 for url: https://ejje.weblio.jp/content/compelling%20evidence,meaning_ja
compelling reason,やむを得ない事由,He offered a compelling reason for delaying the project launch.,彼はプロジェクト開始を遅らせるやむを得ない事由を提示しました。,https://ejje.weblio.jp/content/compelling%20reason,,
competitive market,競争市場、競争市場,Operating in a highly competitive market requires constant innovation.,非常に競争の激しい市場で事業を行うには、絶え間ないイノベーションが必要です。,https://ejje.weblio.jp/content/competitive%20market,,
competitive pressure,競争圧力,Companies face intense competitive pressure to reduce costs and improve quality.,企業は、コスト削減と品質向上のために激しい競争圧力に直面しています。,https://ejje.weblio.jp/content/competitive%20pressure,404 Client Error: 404 for url: https://ejje.weblio.jp/content/competitive%20pressure,meaning_ja
complete a task,タスクを完了する,It is crucial to complete a task efficiently and accurately.,タスクを効率的かつ正確に完了することが重要です。,https://ejje.weblio.jp/content/complete%20a%20task,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complete%20a%20task,meaning_ja
complex area,複合圏域,Urban planning is a complex area involving many different factors.,都市計画は、多くの異なる要因を含む複合的な分野です。,https://ejje.weblio.jp/content/complex%20area,,
complex interaction,複雑な相互作用,Climate change involves a complex interaction of natural and human factors.,気候変動には、自然要因と人間要因の複雑な相互作用が関わっています。,https://ejje.weblio.jp/content/complex%20interaction,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20interaction,meaning_ja
complex issue,複雑な問題,Addressing poverty remains a complex issue for policymakers worldwide.,貧困への対処は、世界中の政策立案者にとって依然として複雑な問題です。,https://ejje.weblio.jp/content/complex%20issue,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20issue,meaning_ja
complex pattern,複合パターン,Researchers observed a complex pattern of behavior in the study.,研究者たちは、その研究で複雑な行動パターンを観察しました。,https://ejje.weblio.jp/content/complex%20pattern,,
complex problem,複雑な問題、厄介な問題,Solving this complex problem requires a multidisciplinary approach.,この複雑な問題を解決するには、多分野にわたるアプローチが必要です。,https://ejje.weblio.jp/content/complex%20problem,,
complex process,複合過程,The development of new drugs is a long and complex process.,新薬の開発は、長く複雑なプロセスです。,https://ejje.weblio.jp/content/complex%20process,,
complex question,複雑な質問,This complex question demands careful consideration from all stakeholders.,この複雑な質問は、すべての利害関係者からの慎重な検討を必要とします。,https://ejje.weblio.jp/content/complex%20question,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20question,meaning_ja
complex relationship,複雑な関係,There is a complex relationship between economic growth and environmental impact.,経済成長と環境影響の間には複雑な関係があります。,https://ejje.weblio.jp/content/complex%20relationship,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20relationship,meaning_ja
complex set,複合集合,The project involves a complex set of tasks and dependencies.,そのプロジェクトには、複雑な一連のタスクと依存関係が含まれています。,https://ejje.weblio.jp/content/complex%20set,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20set,meaning_ja
complex situation,複雑な状況,Navigating this complex situation requires strategic thinking and adaptability.,この複雑な状況を乗り切るには、戦略的思考と適応力が必要です。,https://ejje.weblio.jp/content/complex%20situation,404 Client Error: 404 for url: https://ejje.weblio.jp/content/complex%20situation,meaning_ja
complex structure,複合体構造,The human brain has an incredibly complex structure and function.,人間の脳は信じられないほど複雑な構造と機能を持っています。,https://ejje.weblio.jp/content/complex%20structure,,
complex system,複雑系,The global financial market operates as a highly complex system.,世界の金融市場は、非常に複雑なシステムとして機能しています。,https://ejje.weblio.jp/content/complex%20system,,translated_sentence
comprehensive account,包括的な説明,The book offers a comprehensive account of the historical events.,その本は、歴史的出来事に関する包括的な説明を提供しています。,https://ejje.weblio.jp/content/comprehensive%20account,404 Client Error: 404 for url: https://ejje.weblio.jp/content/comprehensive%20account,meaning_ja
comprehensive approach,包括的なアプローチ,We need a comprehensive approach to address the global climate crisis.,世界的な気候危機に対処するためには、包括的なアプローチが必要です。,https://ejje.weblio.jp/content/comprehensive%20approach,404 Client Error: 404 for url: https://ejje.weblio.jp/content/comprehensive%20approach,meaning_ja
comprehensive overview,包括的な概要,The lecture provided a comprehensive overview of the research findings.,その講義は、研究結果に関する包括的な概要を提供しました。,https://ejje.weblio.jp/content/comprehensive%20overview,404 Client Error: 404 for url: https://ejje.weblio.jp/content/comprehensive%20overview,meaning_ja
comprehensive review,包括的な検討,A comprehensive review of the literature is essential for any thesis.,文献の包括的な検討は、あらゆる論文にとって不可欠です。,https://ejje.weblio.jp/content/comprehensive%20review,404 Client Error: 404 for url: https://ejje.weblio.jp/content/comprehensive%20review,meaning_ja
comprehensive system,包括的なシステム,The company implemented a comprehensive system for quality control.,その会社は品質管理のための包括的なシステムを導入しました。,https://ejje.weblio.jp/content/comprehensive%20system,404 Client Error: 404 for url: https://ejje.weblio.jp/content/comprehensive%20system,meaning_ja
conceptual framework,概念的枠組み,This conceptual framework helps us understand the underlying principles.,この概念的枠組みは、根底にある原則を理解するのに役立ちます。,https://ejje.weblio.jp/content/conceptual%20framework,,meaning_ja
concerted effort,一致協力の努力,Achieving this goal will require a concerted effort from everyone.,この目標を達成するには、全員の一致協力の努力が必要です。,https://ejje.weblio.jp/content/concerted%20effort,,
concluding remarks,結語、結びの言葉、結びの言葉,The speaker's concluding remarks summarized the main points effectively.,講演者の結びの言葉は、主要な点を効果的に要約していました。,https://ejje.weblio.jp/content/concluding%20remarks,,
concluding section,まとめのセクション,The concluding section of the report presents the final recommendations.,報告書のまとめのセクションでは、最終的な提言が提示されています。,https://ejje.weblio.jp/content/concluding%20section,404 Client Error: 404 for url: https://ejje.weblio.jp/content/concluding%20section,meaning_ja
concluding probability,最終確率,We calculated the concluding probability of success based on all data.,私たちはすべてのデータに基づいて、成功の最終確率を計算しました。,https://ejje.weblio.jp/content/concluding%20probability,404 Client Error: 404 for url: https://ejje.weblio.jp/content/concluding%20probability,meaning_ja
conduct research,研究を進める；研究を行う,Scientists often conduct research to explore new frontiers of knowledge.,科学者はしばしば、知識の新しいフロンティアを探求するために研究を行います。,https://ejje.weblio.jp/content/conduct%20research,,
conduct a study,調査を実施する,The university decided to conduct a study on student well-being.,その大学は学生の幸福に関する調査を実施することを決定しました。,https://ejje.weblio.jp/content/conduct%20a%20study,404 Client Error: 404 for url: https://ejje.weblio.jp/content/conduct%20a%20study,meaning_ja
conduct a survey,調査を実施する、調査を行う,We plan to conduct a survey to gather feedback from users.,ユーザーからのフィードバックを収集するために、調査を実施する予定です。,https://ejje.weblio.jp/content/conduct%20a%20survey,,
conduct an analysis,分析を行う,It is essential to conduct an analysis before making major decisions.,主要な決定を下す前に、分析を行うことが不可欠です。,https://ejje.weblio.jp/content/conduct%20an%20analysis,404 Client Error: 404 for url: https://ejje.weblio.jp/content/conduct%20an%20analysis,meaning_ja
conduct an interview,インタビューを行う,Recruiters will conduct an interview with shortlisted candidates next week.,採用担当者は、来週、最終候補者とのインタビューを行います。,https://ejje.weblio.jp/content/conduct%20an%20interview,,meaning_ja
conflict resolution,競合の解消,Effective conflict resolution skills are vital in team management.,効果的な競合の解消スキルは、チーム管理において極めて重要です。,https://ejje.weblio.jp/content/conflict%20resolution,,
conflicting interests,利益相反,The negotiation failed due to the conflicting interests of the parties.,当事者間の利益相反により、交渉は失敗しました。,https://ejje.weblio.jp/content/conflicting%20interests,404 Client Error: 404 for url: https://ejje.weblio.jp/content/conflicting%20interests,meaning_ja
consider appropriate,適切であると考える,We consider appropriate measures to mitigate potential risks.,潜在的なリスクを軽減するために、適切な措置を検討します。,https://ejje.weblio.jp/content/consider%20appropriate,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20appropriate,meaning_ja
consider relevant,関連性があるとみなす,Experts consider relevant data when forming their conclusions.,専門家は結論を形成する際に、関連性のあるデータを考慮します。,https://ejje.weblio.jp/content/consider%20relevant,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20relevant,meaning_ja
consider a possibility,可能性を検討する,We must consider a possibility of unexpected challenges in the project.,プロジェクトにおける予期せぬ課題の可能性を検討しなければなりません。,https://ejje.weblio.jp/content/consider%20a%20possibility,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20a%20possibility,meaning_ja
consider an aspect,ある側面について考察する,It's important to consider an aspect of ethical implications in research.,研究における倫理的側面について考察することが重要です。,https://ejje.weblio.jp/content/consider%20an%20aspect,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20an%20aspect,meaning_ja
consider an issue,ある問題について検討する,We need to consider an issue from multiple perspectives for a fair assessment.,公正な評価のためには、ある問題を複数の視点から検討する必要があります。,https://ejje.weblio.jp/content/consider%20an%20issue,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20an%20issue,meaning_ja
consider the impact of,～の影響について検討する,Policymakers must consider the impact of new legislation on society.,政策立案者は、新しい法案が社会に与える影響について検討しなければなりません。,https://ejje.weblio.jp/content/consider%20the%20impact%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20the%20impact%20of,meaning_ja
consider the implications,その影響について検討する,"Before acting, it is wise to consider the implications carefully.",行動する前に、その影響を慎重に検討することが賢明です。,https://ejje.weblio.jp/content/consider%20the%20implications,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20the%20implications,meaning_ja
consider the role of,～の役割について考えてみよう,We should consider the role of technology in modern education.,現代教育におけるテクノロジーの役割について考えるべきです。,https://ejje.weblio.jp/content/consider%20the%20role%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/consider%20the%20role%20of,meaning_ja
considerable amount of,かなりの量の,The project required a considerable amount of time and resources.,そのプロジェクトには、かなりの量の時間と資源が必要でした。,https://ejje.weblio.jp/content/considerable%20amount%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/considerable%20amount%20of,meaning_ja
considerable attention,かなりの注目,The new discovery has attracted considerable attention from the scientific community.,その新しい発見は、科学界からかなりの注目を集めました。,https://ejje.weblio.jp/content/considerable%20attention,404 Client Error: 404 for url: https://ejje.weblio.jp/content/considerable%20attention,meaning_ja
considerable debate,激しい議論,There has been considerable debate regarding the ethics of AI.,AIの倫理に関して、激しい議論が交わされてきました。,https://ejje.weblio.jp/content/considerable%20debate,404 Client Error: 404 for url: https://ejje.weblio.jp/content/considerable%20debate,meaning_ja
considerable degree of,かなりの程度の,This task involves a considerable degree of complexity and precision.,このタスクには、かなりの程度の複雑さと精度が伴います。,https://ejje.weblio.jp/content/considerable%20degree%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/considerable%20degree%20of,meaning_ja
